Country,Region,Population,Area (sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Crops (%),Climate,Birthrate,Deathrate,Agriculture
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,"14,49",8800,"97,0","2,78",2,"18,02","8,33","0,035"
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,"13,53",5400,"67,0","22,95",2,"19,68","5,08","0,07"
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,"7,54",6900,"99,0",0,,"13,52","6,83",
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,"14,78",2900,"96,0","17,95",2,"16,18","5,98","0,1"
Samoa ,OCEANIA                            ,176908,2944,"27,71",5600,"99,7","24,38",2,"16,43","6,62","0,114"
San Marino ,WESTERN EUROPE                     ,29251,61,"5,73",34600,"96,0",0,,"10,02","8,17",
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,"43,11",1200,"79,3","48,96",2,"40,25","6,47","0,167"
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,"13,24",11800,"78,8","0,09",1,"29,34","2,58","0,033"
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,"55,51",1600,"40,2","0,21",2,"32,78","9,42","0,172"
Serbia ,EASTERN EUROPE                     ,9396411,88361,"12,89",2200,"93,0","3,2",,,,"0,166"
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,"15,53",7800,"58,0","13,33",2,"16,03","6,29","0,032"
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,"143,64",500,"31,4","0,89",2,"45,76","23,03","0,49"
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,"2,29",23700,"92,5",0,2,"9,34","4,28",0
Slovakia ,EASTERN EUROPE                     ,5439448,48845,"7,41",13300,,"2,62",3,"10,65","9,45","0,035"
Slovenia ,EASTERN EUROPE                     ,2010347,20273,"4,45",19000,"99,7","1,49",,"8,98","10,31","0,028"
Solomon Islands ,OCEANIA                            ,552438,28450,"21,29",1700,,2,2,"30,01","3,92","0,42"
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,"116,7",500,"37,8","0,04",1,"45,13","16,63","0,65"
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,"61,81",10700,"86,4","0,79",1,"18,2",22,"0,025"
Spain ,WESTERN EUROPE                     ,40397842,504782,"4,42",22000,"97,9","9,87",3,"10,06","9,72","0,04"
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,"14,35",3700,"92,3","15,7",2,"15,51","6,52","0,178"
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,"62,5",1900,"61,1","0,18",2,"34,53","8,97","0,387"
Suriname ,LATIN AMER. & CARIB    ,439117,163270,"23,57",4000,"93,0","0,06",2,"18,02","7,27","0,13"
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,"69,27",4900,"81,6","0,7","2,5","27,41","29,74","0,119"
Sweden ,WESTERN EUROPE                     ,9016596,449964,"2,77",26800,"99,0","0,01",3,"10,27","10,31","0,011"
Switzerland ,WESTERN EUROPE                     ,7523934,41290,"4,39",32700,"99,0","0,61",3,"9,71","8,49","0,015"
Syria ,NEAR EAST                          ,18881361,185180,"29,53",3300,"76,9","4,43",1,"27,76","4,81","0,249"
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,"6,4",23400,"96,1",1,2,"12,56","6,48","0,018"
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,"110,76",1000,"99,4","0,92",2,"32,65","8,25","0,234"
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,"98,54",600,"78,2","1,08",,"37,71","16,39","0,432"
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,"20,48",7400,"92,6","6,46",2,"13,87","7,04","0,099"
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,"66,61",1500,"60,9","2,21",2,"37,01","9,83","0,395"
Tonga ,OCEANIA                            ,114689,748,"12,62",2200,"98,5","43,06",2,"25,37","5,28","0,23"
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,"24,31",9500,"98,6","9,16",2,"12,9","10,57","0,007"
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,"24,77",6900,"74,2","13,74",3,"15,52","5,13","0,132"
Turkey ,NEAR EAST                          ,70413958,780580,"41,04",6700,"86,5","3,31",3,"16,62","5,97","0,117"
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,"73,08",5800,"98,0","0,14",1,"27,61","8,6","0,209"
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,"15,67",9600,"98,0",0,2,"21,84","4,21",
Tuvalu ,OCEANIA                            ,11810,26,"20,03",1100,,0,2,"22,18","7,11","0,166"
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,"67,83",1400,"69,9","10,65",2,"47,35","12,24","0,311"
Ukraine ,C.W. OF IND. STATES ,46710816,603700,"20,34",5400,"99,7","1,61",3,"8,82","14,39","0,187"
United Arab Emirates ,NEAR EAST                          ,2602713,82880,"14,51",23200,"77,9","2,25",1,"18,96","4,4","0,04"
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,"5,16",27700,"99,0","0,21",3,"10,71","10,13","0,005"
United States ,NORTHERN AMERICA                   ,298444215,9631420,"6,5",37800,"97,0","0,22",3,"14,14","8,26","0,01"
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,"11,95",12800,"98,0","0,23",3,"13,91","9,05","0,093"
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,"71,1",1700,"99,3","0,83",1,"26,36","7,84","0,342"
Vanuatu ,OCEANIA                            ,208869,12200,"55,16",2900,"53,0","7,38",2,"22,72","7,82","0,26"
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,"22,2",4800,"93,4","0,92",2,"18,71","4,92","0,04"
